	patientID	Week	Lactobacillus_crispatus	Lactobacillus_iners	Lactobacillus_gasseri	Lactobacillus_jensenii	Atopobium_vaginae	Megasphaera_sp._type_1	Streptococcus_anginosus	Prevotella_genogroup_3	Clostridiales	Enterococcus_faecalis	Corynebacterium_accolens	Total	Shannon	ISDI
0	AYAC01	1	0.948929858021	0.00254291163382	0.00127145581691	0.00105954651409	0.0	0.0	0.0	0.0	0.0	0.0	0.0275482093664	4719	-0.080671116997	1.11052243417
1	AYAC02	1	0.888808559861	0.061017929439	0.00202429149798	0.0325332562175	0.000144592249855	0.0	0.0	0.0	0.0	0.0	0.0	6916	-0.400685465527	1.25823138872
2	AYAC03	1	0.0	0.202343397927	0.0	0.000225326723749	0.0824695808923	0.292023433979	0.0	0.0319963947724	0.00270392068499	0.0	0.000901306894998	4438	-1.0165649018	7.45974165668
3	AYAC04	1	0.957508342603	0.0271412680756	0.000889877641824	0.00400444938821	0.0	0.0	0.0	0.0	0.0	0.0	0.000444938820912	4495	-0.167823069403	1.08982833539
4	AYAC05	1	0.000559284116331	0.636465324385	0.000559284116331	0.277684563758	0.0	0.0	0.00279642058166	0.0	0.0	0.0	0.00195749440716	3576	-0.668178026964	2.0738056151
5	AYAC06	1	0.00116245277536	0.0142400464981	0.594594594595	0.00261551874455	0.0	0.0	0.0959023539669	0.0	0.000290613193839	0.0	0.000290613193839	3441	-0.620269561452	2.75519247751
6	AYAC07	1	0.00686740623349	0.80969360803	0.000660327522451	0.00330163761226	0.0	0.0	0.000396196513471	0.0	0.0	0.0	0.00013206550449	7572	-0.231934584296	1.52517516515
7	AYAC08	1	0.132352941176	0.837357330992	0.000438981562774	0.0	0.0	0.0	0.000219490781387	0.0	0.0	0.000219490781387	0.00395083406497	4556	-0.423381572863	1.39143039475
8	AYAC09	1	0.99711815562	0.000758380100106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000151676020021	6593	-0.00832613762696	1.00578811811
9	AYAC10	1	0.939091362956	0.0344483275087	0.0	0.00698951572641	0.0	0.0	0.0	0.0	0.0	0.0	0.00099850224663	6009	-0.209738349426	1.13233852217
10	EM01	1	0.0	0.127628865979	0.0	0.0	0.361855670103	0.000103092783505	0.000824742268041	0.099175257732	0.00360824742268	0.0	0.0	9700	-0.886848221296	6.36626002623
11	EM02	1	0.000729927007299	0.105352798054	0.000486618004866	0.0	0.16496350365	0.0187347931873	0.0014598540146	0.0571776155718	0.0416058394161	0.0	0.0	4110	-0.923296135417	22.9009092795
12	EM03	1	0.627415891195	0.350751610594	0.0107372942019	0.000715819613457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2794	-0.713808837253	1.93501000046
13	EM04	1	9.03016073686e-05	9.03016073686e-05	0.0	0.995575221239	0.0	0.0	0.000180603214737	0.0	0.0	0.0	0.000451508036843	11074	-0.00765347295482	1.00890859217
14	EM05	1	0.000713063320023	0.0	0.0	0.991158014832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7012	-0.0139695933642	1.01792078157
15	EM06	1	0.00108813928183	0.00326441784548	0.980685527748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000816104461371	3676	-0.0452391483096	1.03976482329
16	EM07	1	0.829648718296	0.107690221077	0.0166824901668	0.0230571002306	0.000135630001356	0.0	0.0	0.0	0.0	0.0	0.0	7373	-0.551342709574	1.42709513284
17	EM08	1	0.998319955199	0.0	0.0	0.000373343289154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5357	-0.00462543587673	1.00336843594
18	EM09	1	0.992822966507	0.0	0.0	0.00418660287081	0.0	0.0	0.0	0.0	0.000299043062201	0.0	0.0	6688	-0.0325032029948	1.01449195684
19	EM10	1	0.000188928773852	0.998299641035	0.000188928773852	0.000944643869261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5293	-0.0115178798007	1.00340844098
20	EM11	1	0.998793145064	0.000241370987207	0.0	0.000120685493604	0.0	0.0	0.0	0.0	0.0	0.000120685493604	0.000120685493604	8286	-0.00539427461088	1.0024179986
21	EM12	1	0.000634115409004	0.465599239062	0.0	0.532181357007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6308	-0.696271743943	1.99999979895
22	EM13	1	0.0	0.00174520069808	0.0	0.0	0.293630017452	0.0127981384526	0.0	0.0065445026178	0.0951134380454	0.0	0.0	6876	-0.68337322834	10.4739656047
23	EM14	1	0.922424456618	0.03728573953	0.0	0.0348118042057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5659	-0.314014798808	1.17168876613
24	EM15	1	0.636837266319	0.312749003984	0.0	0.0338645418327	0.0	0.0	0.0	0.0	0.000153233220962	0.0	0.000306466441925	6526	-0.766882822203	1.98208011697
25	AYAC01	1	0.9704595186	0.00218818380744	0.00218818380744	0.00191466083151	0.00054704595186	0.0	0.0	0.0	0.0	0.0	0.0125820568928	3656	-0.0719948751444	1.06179067616
